iter	Passed	Remaining
141	457	2762
142	459	2753
143	461	2745
144	464	2737
145	466	2728
146	468	2719
147	470	2710
148	473	2702
149	475	2693
150	477	2685
151	479	2677
152	482	2669
153	484	2662
154	486	2654
155	489	2646
156	491	2638
157	493	2631
158	496	2623
159	498	2615
160	500	2608
161	502	2600
162	504	2593
163	507	2586
164	509	2579
165	512	2572
166	514	2565
167	516	2558
168	518	2551
169	521	2545
170	523	2538
171	525	2531
172	528	2524
173	530	2518
174	532	2511
175	535	2504
176	537	2498
177	539	2491
178	541	2484
179	543	2478
180	546	2471
181	548	2465
182	550	2458
183	552	2452
184	555	2445
185	557	2439
186	559	2433
187	561	2427
188	564	2421
189	566	2415
190	568	2408
191	570	2402
192	573	2396
193	575	2390
194	577	2384
195	579	2378
196	582	2372
197	584	2367
198	586	2362
199	589	2356
200	591	2350
201	593	2345
202	596	2341
203	598	2336
204	600	2330
205	603	2324
206	605	2319
207	607	2313
208	609	2308
209	612	2302
210	614	2297
211	616	2291
212	618	2285
213	620	2280
214	623	2275
215	625	2270
216	627	2265
217	630	2259
218	632	2254
219	634	2249
220	636	2244
221	638	2238
222	641	2234
223	643	2229
224	645	2223
225	647	2218
226	649	2213
227	652	2208
228	654	2203
229	656	2198
230	658	2192
231	660	2187
232	663	2183
233	665	2177
234	667	2172
235	669	2167
236	671	2163
237	674	2158
238	676	2153
239	678	2148
240	680	2144
241	683	2139
242	685	2134
243	687	2130
244	690	2126
245	692	2122
246	695	2120
247	697	2116
248	700	2111
249	702	2107
250	704	2102
251	706	2098
252	709	2093
253	711	2089
254	713	2084
255	715	2080
256	718	2076
257	720	2071
258	722	2066
259	724	2062
260	727	2059
261	729	2055
262	731	2049
263	733	2045
264	735	2040
265	738	2036
266	740	2032
267	742	2027
268	744	2023
269	746	2019
270	749	2015
271	751	2010
272	753	2006
273	755	2002
274	757	1997
275	760	1994
276	762	1990
277	765	1986
278	767	1983
279	769	1979
280	772	1976
281	774	1973
282	777	1969
283	779	1966
284	782	1963
285	785	1960
286	788	1958
287	791	1956
288	793	1952
289	796	1948
290	798	1944
291	800	1941
292	803	1938
293	805	1934
294	808	1931
295	810	1927
296	812	1923
297	815	1920
298	817	1916
299	819	1913
300	822	1909
301	824	1906
302	827	1902
303	829	1898
304	831	1895
305	834	1891
306	836	1888
307	839	1885
308	841	1881
309	844	1878
310	846	1875
311	848	1871
312	851	1867
313	853	1864
314	855	1860
315	858	1857
316	860	1853
317	862	1849
318	864	1846
319	867	1842
320	869	1838
321	871	1835
322	873	1831
323	876	1827
324	878	1824
325	880	1820
326	882	1816
327	884	1813
328	887	1809
329	889	1805
330	891	1802
331	893	1798
332	896	1795
333	898	1792
334	901	1788
335	903	1786
336	905	1782
337	908	1778
338	910	1775
339	912	1771
340	914	1768
341	917	1764
342	919	1761
343	921	1757
344	924	1754
345	926	1751
346	928	1748
347	931	1744
348	933	1740
349	935	1737
350	937	1733
351	940	1730
352	942	1727
353	944	1724
354	947	1721
355	949	1717
356	952	1714
357	954	1711
358	956	1708
359	959	1704
360	961	1701
361	963	1697
362	965	1694
363	967	1691
364	970	1687
365	972	1684
366	974	1680
367	976	1677
368	978	1673
369	981	1670
370	983	1666
371	985	1663
372	987	1659
373	989	1656
374	991	1653
375	994	1649
376	996	1646
377	998	1643
378	1000	1640
379	1003	1637
380	1005	1633
381	1008	1630
382	1010	1627
383	1012	1624
384	1014	1621
385	1017	1618
386	1019	1614
387	1021	1611
388	1024	1608
389	1026	1605
390	1028	1602
391	1030	1598
392	1033	1595
393	1035	1592
394	1037	1589
395	1040	1587
396	1042	1583
397	1044	1580
398	1047	1577
399	1049	1574
400	1051	1571
401	1053	1567
402	1056	1564
403	1058	1561
404	1060	1558
405	1062	1555
406	1065	1551
407	1067	1548
408	1069	1545
409	1071	1541
410	1073	1539
411	1076	1535
412	1078	1532
413	1080	1529
414	1082	1526
415	1084	1523
416	1087	1520
417	1089	1517
418	1091	1513
419	1093	1510
420	1096	1507
421	1098	1504
422	1100	1501
423	1102	1498
424	1105	1495
425	1107	1492
426	1109	1489
427	1111	1486
428	1114	1482
429	1116	1479
430	1118	1476
431	1120	1473
432	1123	1470
433	1125	1467
434	1127	1464
435	1130	1461
436	1132	1459
437	1135	1456
438	1137	1453
439	1140	1451
440	1142	1448
441	1145	1445
442	1147	1442
443	1150	1440
444	1152	1437
445	1155	1434
446	1157	1432
447	1160	1429
448	1163	1427
449	1165	1425
450	1168	1422
451	1171	1420
452	1174	1417
453	1176	1414
454	1179	1412
455	1181	1409
456	1184	1407
457	1186	1404
458	1189	1401
459	1191	1399
460	1194	1396
461	1196	1393
462	1199	1390
463	1201	1387
464	1203	1385
465	1206	1382
466	1208	1379
467	1211	1377
468	1214	1374
469	1216	1371
470	1219	1369
471	1221	1366
472	1224	1364
473	1226	1361
474	1229	1358
475	1231	1355
476	1233	1352
477	1236	1350
478	1238	1347
479	1241	1344
480	1244	1342
481	1246	1339
482	1248	1336
483	1251	1334
484	1253	1331
485	1256	1328
486	1258	1325
487	1261	1323
488	1263	1320
489	1266	1317
490	1268	1315
491	1271	1312
492	1273	1309
493	1276	1307
494	1278	1304
495	1281	1302
496	1284	1299
497	1286	1296
498	1289	1294
499	1291	1291
500	1293	1288
501	1296	1285
502	1298	1283
503	1301	1280
504	1303	1277
505	1306	1275
506	1308	1272
507	1311	1269
508	1313	1267
509	1316	1264
510	1318	1262
511	1321	1259
512	1323	1256
513	1326	1254
514	1328	1251
515	1331	1248
516	1333	1245
517	1335	1242
518	1337	1239
519	1340	1236
520	1342	1234
521	1344	1231
522	1346	1228
523	1349	1225
524	1351	1222
525	1353	1220
526	1356	1217
527	1358	1214
528	1360	1211
529	1362	1208
530	1365	1205
531	1367	1202
532	1369	1200
533	1372	1197
534	1374	1194
535	1376	1191
536	1378	1188
537	1381	1185
538	1383	1183
539	1385	1180
540	1387	1177
541	1390	1174
542	1392	1171
543	1394	1168
544	1396	1166
545	1398	1163
546	1401	1160
547	1403	1157
548	1405	1154
549	1407	1151
550	1410	1149
551	1412	1146
552	1414	1143
553	1416	1140
554	1419	1137
555	1421	1135
556	1423	1132
557	1425	1129
558	1427	1126
559	1430	1123
560	1432	1121
561	1434	1118
562	1437	1115
563	1439	1112
564	1442	1110
565	1444	1107
566	1446	1104
567	1448	1101
568	1451	1099
569	1453	1096
570	1455	1093
571	1457	1090
572	1460	1088
573	1462	1085
574	1464	1082
575	1466	1079
576	1469	1077
577	1471	1074
578	1473	1071
579	1476	1068
580	1478	1066
581	1480	1063
582	1482	1060
583	1484	1057
584	1487	1055
585	1489	1052
586	1491	1049
587	1494	1046
588	1496	1044
589	1498	1041
590	1501	1038
591	1503	1036
592	1505	1033
593	1507	1030
594	1510	1027
595	1512	1025
596	1514	1022
597	1516	1019
598	1519	1016
599	1521	1014
600	1523	1011
601	1525	1008
602	1527	1005
603	1530	1003
604	1532	1000
605	1534	997
606	1536	994
607	1538	992
608	1541	989
609	1543	986
610	1545	984
611	1547	981
612	1549	978
613	1552	975
614	1554	973
615	1556	970
616	1558	967
617	1561	964
618	1563	962
619	1565	959
620	1567	956
621	1569	954
622	1572	951
623	1574	948
624	1576	945
625	1578	943
626	1580	940
627	1583	937
628	1585	935
629	1587	932
630	1589	929
631	1592	927
632	1594	924
633	1596	921
634	1598	919
635	1601	916
636	1603	913
637	1605	910
638	1607	908
639	1609	905
640	1612	902
641	1614	900
642	1616	897
643	1618	894
644	1620	892
645	1623	889
646	1625	886
647	1627	884
648	1629	881
649	1632	878
650	1634	876
651	1636	873
652	1638	870
653	1641	868
654	1643	865
655	1645	863
656	1648	860
657	1650	857
658	1652	855
659	1654	852
660	1657	849
661	1659	847
662	1661	844
663	1663	842
664	1666	839
665	1668	836
666	1670	834
667	1673	831
668	1675	828
669	1677	826
670	1679	823
671	1682	820
672	1684	818
673	1686	815
674	1688	813
675	1690	810
676	1693	807
677	1695	805
678	1697	802
679	1699	799
680	1701	797
681	1704	794
682	1706	791
683	1708	789
684	1710	786
685	1712	784
686	1715	781
687	1717	778
688	1719	776
689	1722	773
690	1724	771
691	1726	768
692	1728	765
693	1731	763
694	1733	760
695	1735	758
696	1738	755
697	1740	752
698	1742	750
699	1744	747
700	1747	745
701	1749	742
702	1751	739
703	1753	737
704	1755	734
705	1757	732
706	1760	729
707	1762	726
708	1764	724
709	1766	721
710	1769	719
711	1771	716
712	1773	713
713	1775	711
714	1777	708
715	1780	706
716	1782	703
717	1784	700
718	1786	698
719	1788	695
720	1791	693
721	1793	690
722	1795	687
723	1798	685
724	1800	682
725	1802	680
726	1804	677
727	1807	675
728	1809	672
729	1811	670
730	1813	667
731	1815	664
732	1818	662
733	1820	659
734	1822	657
735	1824	654
736	1826	651
737	1829	649
738	1831	646
739	1833	644
740	1835	641
741	1838	639
742	1840	636
743	1842	634
744	1844	631
745	1847	628
746	1849	626
747	1851	623
748	1853	621
749	1856	618
750	1858	616
751	1860	613
752	1862	610
753	1864	608
754	1867	605
755	1869	603
756	1871	600
757	1873	598
758	1875	595
759	1878	593
760	1880	590
761	1882	588
762	1884	585
763	1887	582
764	1889	580
765	1891	577
766	1893	575
767	1895	572
768	1898	570
769	1900	567
770	1902	565
771	1904	562
772	1907	560
773	1909	557
774	1911	554
775	1914	552
776	1916	549
777	1918	547
778	1920	544
779	1923	542
780	1925	539
781	1927	537
782	1930	534
783	1932	532
784	1935	530
785	1937	527
786	1939	524
787	1941	522
788	1943	519
789	1946	517
790	1948	514
791	1950	512
792	1952	509
793	1955	507
794	1957	504
795	1959	502
796	1961	499
797	1963	497
798	1965	494
799	1968	492
800	1970	489
801	1972	487
802	1974	484
803	1977	481
804	1979	479
805	1981	476
806	1983	474
807	1986	471
808	1988	469
809	1991	467
810	1993	464
811	1996	462
812	1998	459
813	2000	457
814	2003	454
815	2005	452
816	2007	449
817	2009	447
818	2011	444
819	2014	442
820	2016	439
821	2018	437
822	2021	434
823	2023	432
824	2025	429
825	2028	427
826	2030	424
827	2033	422
828	2035	419
829	2037	417
830	2039	414
831	2041	412
832	2044	409
833	2046	407
834	2048	404
835	2051	402
836	2053	399
837	2055	397
838	2057	394
839	2060	392
840	2062	389
841	2064	387
842	2066	384
843	2069	382
844	2071	379
845	2073	377
846	2075	374
847	2077	372
848	2080	369
849	2082	367
850	2084	365
851	2087	362
852	2089	360
853	2091	357
854	2094	355
855	2096	352
856	2098	350
857	2100	347
858	2103	345
859	2105	342
860	2107	340
861	2109	337
862	2112	335
863	2114	332
864	2116	330
865	2118	327
866	2121	325
867	2123	322
868	2126	320
869	2128	318
870	2130	315
871	2132	313
872	2135	310
873	2137	308
874	2139	305
875	2141	303
876	2143	300
877	2145	298
878	2148	295
879	2150	293
880	2152	290
881	2154	288
882	2156	285
883	2158	283
884	2161	280
885	2163	278
886	2165	275
887	2168	273
888	2170	270
889	2172	268
890	2174	266
891	2176	263
892	2179	261
893	2181	258
894	2183	256
895	2185	253
896	2187	251
897	2190	248
898	2192	246
899	2194	243
900	2196	241
901	2199	238
902	2201	236
903	2203	233
904	2205	231
905	2208	229
906	2210	226
907	2212	224
908	2214	221
909	2216	219
910	2219	216
911	2221	214
912	2223	211
913	2226	209
914	2228	207
915	2231	204
916	2233	202
917	2235	199
918	2238	197
919	2240	194
920	2243	192
921	2245	189
922	2248	187
923	2250	185
924	2252	182
925	2255	180
926	2257	177
927	2260	175
928	2263	172
929	2266	170
930	2268	168
931	2271	165
932	2273	163
933	2276	160
934	2278	158
935	2280	155
936	2283	153
937	2285	151
938	2287	148
939	2289	146
940	2292	143
941	2294	141
942	2296	138
943	2298	136
944	2301	133
945	2303	131
946	2305	129
947	2307	126
948	2310	124
949	2312	121
950	2314	119
951	2316	116
952	2318	114
953	2321	111
954	2323	109
955	2325	107
956	2328	104
957	2330	102
958	2332	99
959	2335	97
960	2337	94
961	2339	92
962	2341	89
963	2344	87
964	2346	85
965	2348	82
966	2350	80
967	2353	77
968	2355	75
969	2357	72
970	2360	70
971	2362	68
972	2365	65
973	2367	63
974	2369	60
975	2371	58
976	2373	55
977	2376	53
978	2378	51
979	2380	48
980	2383	46
981	2385	43
982	2387	41
983	2389	38
984	2392	36
985	2394	33
986	2396	31
987	2398	29
988	2401	26
989	2403	24
990	2405	21
991	2407	19
992	2410	16
993	2412	14
994	2415	12
995	2417	9
996	2420	7
997	2423	4
998	2426	2
999	2428	0
